team,wins,total_matches,win_perc
"Royal Challengers Bangalore",121,249,48.59
"Kings XI Punjab",85,186,45.70
"Delhi Daredevils",67,158,42.41
"Mumbai Indians",142,257,55.25
"Kolkata Knight Riders",130,247,52.63
"Rajasthan Royals",110,216,50.93
"Deccan Chargers",29,75,38.67
"Chennai Super Kings",138,236,58.47
"Kochi Tuskers Kerala",6,14,42.86
"Pune Warriors",12,45,26.67
"Sunrisers Hyderabad",87,178,48.88
"Gujarat Lions",13,29,44.83
"Rising Pune Supergiants",15,30,50.00
"Delhi Capitals",45,88,51.14
"Punjab Kings",24,56,42.86
"Lucknow Super Giants",24,43,55.81
"Gujarat Titans",28,45,62.22
